languageID	repo	sha	sourcePath	hasScanner	queriesPath
javascript	tree-sitter/tree-sitter-javascript	58404d8cf191d69f2674a8fd507bd5776f46cb11	src	yes	queries/highlights.scm
typescript	tree-sitter/tree-sitter-typescript	75b3874edb2dc714fb1fd77a32013d0f8699989f	typescript/src	yes	queries/highlights.scm
html	tree-sitter/tree-sitter-html	73a3947324f6efddf9e17c0ea58d454843590cc0	src	yes	queries/highlights.scm
css	tree-sitter/tree-sitter-css	dda5cfc5722c429eaba1c910ca32c2c0c5bb1a3f	src	yes	queries/highlights.scm
python	tree-sitter/tree-sitter-python	26855eabccb19c6abf499fbc5b8dc7cc9ab8bc64	src	yes	queries/highlights.scm
yaml	tree-sitter-grammars/tree-sitter-yaml	a1c4812a73ec5e089de8e441fdea3a921e8d5079	src	yes	queries/highlights.scm
toml	tree-sitter-grammars/tree-sitter-toml	64b56832c2cffe41758f28e05c756a3a98d16f41	src	yes	queries/highlights.scm
bash	tree-sitter/tree-sitter-bash	a06c2e4415e9bc0346c6b86d401879ffb44058f7	src	yes	queries/highlights.scm
c	tree-sitter/tree-sitter-c	b780e47fc780ddc8da13afa35a3f4ed5c157823d	src	no	queries/highlights.scm
cpp	tree-sitter/tree-sitter-cpp	8b5b49eb196bec7040441bee33b2c9a4838d6967	src	yes	queries/highlights.scm
rust	tree-sitter/tree-sitter-rust	77a3747266f4d621d0757825e6b11edcbf991ca5	src	yes	queries/highlights.scm
go	tree-sitter/tree-sitter-go	2346a3ab1bb3857b48b29d779a1ef9799a248cd7	src	no	queries/highlights.scm
java	tree-sitter/tree-sitter-java	e10607b45ff745f5f876bfa3e94fbcc6b44bdc11	src	no	queries/highlights.scm
ruby	tree-sitter/tree-sitter-ruby	ad907a69da0c8a4f7a943a7fe012712208da6dee	src	yes	queries/highlights.scm
php	tree-sitter/tree-sitter-php	38216983c07bf9e1b56e16acde53b25adaeab61c	php/src	yes	queries/highlights.scm
xml	tree-sitter-grammars/tree-sitter-xml	5000ae8f22d11fbe93939b05c1e37cf21117162d	xml/src	yes	queries/xml/highlights.scm
markdown	tree-sitter-grammars/tree-sitter-markdown	a0a00f817d02412bd92c54d316f164d827b57b5c	tree-sitter-markdown/src	yes	tree-sitter-markdown/queries/highlights.scm
